uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AHZGUAU2CB7EFW4YU6H3JHGV4IIQ,50,497,49,49,False,11.845567831541583,0.07295510791209707,0.13653951961771046,0.23565709987938915,0.38982513397943286,0.6023835714329037
AFP2WXHZKBB7XPY4N3AJUTNU5VMA,50,101,49,49,False,12.532361743863904,0.07891753051435725,0.13448024320938246,0.22899257588030983,0.3878152215915244,0.6103602245355574
AHVXGKLXRHIGF526AXHULCZS4FYQ,50,169,49,49,False,11.182546351202511,0.07385472477633362,0.1365145229261218,0.2363238077959095,0.38671411358920466,0.6039134892110462
AHZIHNW6OOJ4YJJN4WVC46M36BIQ,50,159,42,49,True,13.41268997077874,0.10120742838542511,0.17829250874179647,0.30701615625516354,0.4941397302766027,0.7246541989484199
AHCBGJEJ64FBE7XMJHXND6LAMPIA,50,105,49,49,False,12.795109782931895,0.08657946098051714,0.15824451709224832,0.2559224395412787,0.4082586742354483,0.6270726513360128
AHZGQXTGR3WB6CQR3PP2TB2YPTUA_1,50,1677,49,49,False,14.252440535291171,0.09612169765105,0.14781685928168958,0.23287691768215155,0.37677352520536894,0.5937202555152941
AFU5DVHILPAGOOMK7QCVQJI7ELZQ,50,106,49,49,False,12.720404336967949,0.07214905537787175,0.13371016534687302,0.2335408875876386,0.39240116804396735,0.6152257571871663
AEMP3A7IKW37CMWFXNKXWW6HGJHA_1,50,146,49,49,False,10.966524695144935,0.06424531714845601,0.12032440013463981,0.22338126496025573,0.3854167906345041,0.6187585704980091
AFTHDT2O7A2HWCMCK6AC2R5YE37Q,50,142,49,49,False,11.984576393876301,0.07830238856275257,0.13506968684293671,0.23077628400959718,0.38424566736535676,0.5969497606846287
AFH6GLY2ND6DKFGNZD5NF2DUWP2A,50,291,48,49,True,11.035127851119492,0.06932529870346192,0.13597134095235794,0.2364411400490015,0.3993035744712214,0.622169272455513
AEYZ5S3OU4YJPU222CDOR42FQFIA,50,109,49,49,False,12.191747573533933,0.06564966030809787,0.13074095314447123,0.2309128461957587,0.38071987369498417,0.5961801407960166
AHR3H2GGG6JCM5CECI3QMWKSTE3Q,50,111,49,49,False,11.832406116472097,0.08547260381749079,0.15712796215815847,0.2570272153161916,0.41374061340847823,0.6262436476466557
